TIME,TASK,GROUP,CH_R,CH_P,CH_Y,CH_H,CH_T,ARMING,AUX2,AUX3,float0,float1,float2,float3,float4,float5,float6,float7,ldata0,ldata1,ldata2,ldata3,ldata4,ldata5,ldata6,ldata7,pidRoll,pidPitch,pidYaw,pidThrust,pidHover,HOVER_MINIMAL_HEIGHT,HOVER_MIN_DISTANCE,HOVER_MAX_DISTANCE,CRC
14085,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,0000BCD4
14106,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,00003BD8
14106,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,000025C6
14134,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000B03A
14145,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,00006E9B
14145,SDIST,UPD,0,0,0,27,0,0,0,0,16.49,12.37,450.00,429.39,37.24,27.93,450.00,403.44,429,12,0,0,400,27,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000F96E
14172,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,0000A5F8
14183,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,00009BDA
14198,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,00001251
14209,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,00004D46
14225,SDIST,UPD,0,0,0,28,0,0,0,0,16.46,12.35,450.00,429.42,37.50,28.12,450.00,403.13,431,12,0,0,400,28,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,000067DD
14236,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000CCF8
14247,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,0000466C
14258,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000C592
14284,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,00000459
14305,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,0000E805
14316,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000BD67
14331,SDIST,UPD,0,0,0,28,0,0,0,0,16.49,12.36,450.00,429.39,37.72,28.29,450.00,402.85,428,12,0,0,400,28,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000E72F
14342,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,00006BE6
14343,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,00005678
14369,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,000005B2
14390,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,0000D28D
14401,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,00006DE3
14417,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,0000046F
14418,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000900A
14418,SDIST,UPD,0,0,0,28,0,0,0,0,16.46,12.34,450.00,429.43,37.92,28.44,450.00,402.61,431,12,0,0,400,28,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,000033B4
14450,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,0000878C
14471,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,00003FE9
14471,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,000027DA
14499,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000C740
14510,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,000042B5
14510,SDIST,UPD,0,0,0,28,0,0,0,0,16.50,12.38,450.00,429.37,38.09,28.57,450.00,402.39,427,12,0,0,400,28,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0000D71F
14537,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,00004720
14548,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,000067FD
14563,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,00000430
